date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2330,45045125,47883206644,1070.0,1075.0,1055.0,1065.0,-10.0,74997
2025-01-03,2330,31244211,33728652860,1080.0,1085.0,1075.0,1075.0,10.0,28227
2025-01-06,2330,77874801,86585128825,1100.0,1125.0,1095.0,1125.0,50.0,130021
2025-01-07,2330,54691485,62664127156,1150.0,1160.0,1130.0,1130.0,5.0,70657
2025-01-08,2330,49181518,54760296689,1110.0,1130.0,1105.0,1105.0,-25.0,71736
2025-01-09,2330,29916198,33052210793,1100.0,1115.0,1100.0,1100.0,-5.0,51544
2025-01-10,2330,24475751,26996697889,1100.0,1110.0,1100.0,1100.0,0.0,38027
2025-01-13,2330,62629547,68093421797,1110.0,1115.0,1070.0,1075.0,-25.0,118516
2025-01-14,2330,31280235,33915048410,1085.0,1090.0,1075.0,1090.0,15.0,32218
2025-01-15,2330,37966582,40677529813,1085.0,1085.0,1065.0,1065.0,-25.0,74906
2025-01-16,2330,49872673,54934128041,1095.0,1115.0,1090.0,1105.0,40.0,54389
2025-01-17,2330,60857371,67663576840,1125.0,1125.0,1095.0,1120.0,15.0,48829
2025-01-20,2330,32062171,36076248367,1125.0,1135.0,1120.0,1120.0,0.0,37780
2025-01-21,2330,24368832,27256307475,1115.0,1125.0,1110.0,1120.0,0.0,28262
2025-01-22,2330,45996696,52510666410,1140.0,1150.0,1135.0,1135.0,15.0,59434
2025-02-03,2330,113031525,120769676393,1065.0,1075.0,1060.0,1070.0,-65.0,247531
2025-02-04,2330,57904652,63132252012,1085.0,1100.0,1080.0,1095.0,25.0,59315
2025-02-05,2330,43082532,47931709801,1110.0,1120.0,1105.0,1110.0,15.0,51245
2025-02-06,2330,33768196,37638807097,1120.0,1120.0,1105.0,1115.0,5.0,32994
2025-02-07,2330,31107545,34745052940,1110.0,1125.0,1105.0,1125.0,10.0,35637
2025-02-10,2330,31037109,34425517969,1125.0,1125.0,1095.0,1105.0,-20.0,60839
2025-02-11,2330,21023057,23294288731,1110.0,1115.0,1100.0,1110.0,5.0,31837
2025-02-12,2330,26190392,28966591975,1110.0,1115.0,1100.0,1100.0,-10.0,38511
2025-02-13,2330,35681521,38806197999,1090.0,1095.0,1080.0,1090.0,-10.0,72456
2025-02-14,2330,73417323,78100130074,1065.0,1070.0,1060.0,1060.0,-30.0,218986
2025-02-17,2330,37215861,40057489554,1065.0,1085.0,1065.0,1085.0,25.0,57081
2025-02-18,2330,24018940,26204727000,1085.0,1100.0,1080.0,1100.0,15.0,30650
2025-02-19,2330,28756849,31328641002,1090.0,1095.0,1085.0,1090.0,-10.0,33952
2025-02-20,2330,31108197,33537160793,1080.0,1085.0,1070.0,1080.0,-10.0,43395
2025-02-21,2330,31480715,34322859039,1085.0,1095.0,1080.0,1095.0,15.0,29895
2025-02-24,2330,33837606,36461265148,1080.0,1085.0,1075.0,1075.0,-20.0,47924
2025-02-25,2330,53174277,56084293935,1055.0,1060.0,1050.0,1055.0,-20.0,178967
2025-02-26,2330,42921499,45208281264,1045.0,1060.0,1045.0,1060.0,5.0,75535
2025-02-27,2330,61646900,64595715596,1065.0,1065.0,1040.0,1040.0,-20.0,121377
2025-03-03,2330,73279419,74076141634,1000.0,1020.0,1000.0,1020.0,-20.0,208673
2025-03-04,2330,70879417,71031410815,996.0,1010.0,996.0,1000.0,-20.0,184239
2025-03-05,2330,45086222,46126315408,1020.0,1030.0,1015.0,1020.0,20.0,63259
