date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2891,51605975,2002849989,38.95,39.2,38.6,38.7,-0.4,18447
2025-01-03,2891,27372891,1067149404,38.7,39.15,38.7,39.0,0.3,7871
2025-01-06,2891,31438275,1238084452,39.15,39.5,39.15,39.4,0.4,12121
2025-01-07,2891,23772863,933383757,39.45,39.5,39.1,39.2,-0.2,8738
2025-01-08,2891,24936024,976646016,39.15,39.4,39.1,39.1,-0.1,9038
2025-01-09,2891,27956193,1093949239,39.15,39.45,38.85,38.95,-0.15,10895
2025-01-10,2891,52397904,2012017679,38.75,38.8,38.15,38.55,-0.4,21502
2025-01-13,2891,44038068,1687295046,38.45,38.65,38.1,38.3,-0.25,16249
2025-01-14,2891,30300055,1171745789,38.5,38.85,38.45,38.85,0.55,10886
2025-01-15,2891,32769038,1271542834,38.85,39.15,38.6,38.75,-0.1,11637
2025-01-16,2891,36607779,1428760065,39.0,39.2,38.85,39.1,0.35,11612
2025-01-17,2891,31478977,1225043973,39.1,39.15,38.65,39.05,-0.05,10000
2025-01-20,2891,20914166,810785396,39.05,39.1,38.7,38.7,-0.35,9782
2025-01-21,2891,22462905,876853245,38.75,39.2,38.6,39.0,0.3,7708
2025-01-22,2891,31324849,1226874313,39.3,39.3,39.05,39.1,0.1,9275
2025-02-03,2891,47405520,1840372407,38.6,39.05,38.35,39.0,-0.1,18395
2025-02-04,2891,41046784,1600658081,39.3,39.4,38.65,38.85,-0.15,14780
2025-02-05,2891,36603263,1438549067,39.2,39.4,39.05,39.4,0.55,10386
2025-02-06,2891,30838131,1217827645,39.4,39.6,39.25,39.6,0.2,10675
2025-02-07,2891,26825872,1065295859,39.5,39.95,39.5,39.75,0.15,9461
2025-02-10,2891,51644732,2067583153,39.65,40.2,39.55,40.15,0.4,17043
2025-02-11,2891,32289731,1291759762,40.2,40.2,39.9,40.05,-0.1,13630
2025-02-12,2891,48092528,1936303194,40.0,40.45,39.95,40.25,0.2,14163
2025-02-13,2891,33151969,1340542810,40.3,40.55,40.1,40.5,0.25,11613
2025-02-14,2891,27155960,1090348147,40.4,40.5,39.95,39.95,-0.55,15103
2025-02-17,2891,33979087,1375098645,40.15,40.65,40.1,40.65,0.7,15571
2025-02-18,2891,22084975,892152977,40.65,40.65,40.3,40.35,-0.3,15703
2025-02-19,2891,33242365,1333530966,40.3,40.45,39.9,40.0,-0.35,14682
2025-02-20,2891,41168901,1654090924,40.1,40.5,39.9,40.2,0.2,11519
2025-02-21,2891,36447897,1466361766,40.3,40.4,40.0,40.3,0.1,12142
2025-02-24,2891,38741207,1556626889,40.0,40.4,39.95,40.4,0.1,8297
2025-02-25,2891,37592951,1522402160,40.05,40.65,40.05,40.65,0.25,10390
2025-02-26,2891,57404598,2352957551,40.7,41.2,40.5,41.05,0.4,19656
2025-02-27,2891,71797034,2934436900,40.95,41.2,40.65,40.75,-0.3,14514
2025-03-03,2891,48436359,1979313897,40.3,41.05,40.3,41.05,0.3,16965
2025-03-04,2891,55506103,2270795151,40.55,41.2,40.55,41.0,-0.05,14781
2025-03-05,2891,43964255,1783298747,40.95,41.1,40.4,40.4,-0.6,18808
2025-03-06,2891,27027637,1100046851,40.65,40.85,40.5,40.75,0.35,11139
2025-03-07,2891,70858730,2840514930,40.65,40.7,39.95,40.05,-0.7,22765
2025-03-10,2891,35334425,1415362707,40.15,40.2,39.9,40.0,-0.05,10477
2025-03-11,2891,95966945,3790579304,39.6,39.8,39.1,39.65,-0.35,28421
2025-03-12,2891,51423848,2065537124,39.9,40.35,39.7,40.3,0.65,16542
2025-03-13,2891,31922385,1277997033,40.35,40.35,39.85,40.0,-0.3,10225
2025-03-14,2891,63215002,2515761311,40.2,40.2,39.55,39.75,-0.25,18395
2025-03-17,2891,52315545,2089676253,39.95,40.1,39.55,40.1,0.35,14089
2025-03-18,2891,65028651,2607890930,40.15,40.55,39.7,40.3,0.2,24154
2025-03-19,2891,66338837,2688913476,40.55,40.9,40.25,40.25,-0.05,16515
2025-03-20,2891,52850235,2115059256,40.4,40.5,39.85,39.95,-0.3,19422
2025-03-21,2891,70672811,2826418992,40.0,40.25,39.8,39.95,0.0,19782
2025-03-24,2891,47260754,1907068274,40.25,40.55,40.1,40.35,0.4,13483
2025-03-25,2891,25228607,1017612447,40.35,40.55,40.2,40.25,-0.1,7691
2025-03-26,2891,46563216,1885192873,40.6,40.6,40.35,40.45,0.2,12496
2025-03-27,2891,47143701,1892826332,40.25,40.4,39.85,40.4,-0.05,17220
2025-03-28,2891,65800630,2655578363,40.15,40.55,40.1,40.45,0.05,15756
2025-03-31,2891,84309826,3349266640,39.8,40.0,39.45,39.45,-1.0,25580
2025-04-01,2891,33965739,1356436994,39.65,40.05,39.65,39.9,0.45,11203
2025-04-02,2891,44048926,1776290145,39.75,40.5,39.55,40.4,0.5,11986
2025-04-07,2891,26424490,961856304,36.4,36.4,36.4,36.4,-4.0,15931
